nome,apadrinhamento,registrocnpj,interesseregularizar,bairro,cidade,formato,refeicoesquant,diassemana,melhordia
Sandra Beartsch,FONSANPOTMA,Sim,Não,João Pessoa,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",250,7,"Segunda, Terça, Quarta, Quinta, Sexta, Sábado, Domingo"
Cozinha da Tia Zélia,FESANS,Sim,Não,Lami,Porto Alegre,Marmita,2.100,6,"Segunda, Terça, Quarta, Quinta, Sexta"
Cozinha da Esperança,UAMPA,Não,Sim,Lami,Porto Alegre,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",300,2,Quinta
Rosa Solidária,FONSANPOTMA,Não,Não,Lomba do Pinheiro,Porto Alegre,Marmita,600,6,"Segunda, Terça, Quarta, Quinta, Sexta"
Cozinha Solidaria Odoya Panorama,Multiplicidade,Não,Não,Lomba do Pinheiro,Porto Alegre,Marmita,346,6,"Quinta, Sexta"
Cozinha Solidária Clube das Mães da Panorama,CUT Comunidades,Não,Não,Lomba do Pinheiro,Porto Alegre,Marmita,400,3,Quinta
Cozinha Solidária Casa do Pedrão,CUT Comunidades,Sim,Não,Lomba do Pinheiro,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,200,1,Quarta
Milena Fernanda Carvalho,FONSANPOTMA,Não,Sim,Lomba do Pinheiro,Porto Alegre,Marmita,150,2,Quinta
Utt Xangô das Matad Em Águas de Iemanjá,FONSANPOTMA,Não,Não,Lomba do Pinheiro,Porto Alegre,"Marmita,Refeições coletivas",300,2,"Terça, Quinta"
"Casa de Oração da Comunidade Jêjé, as Crianças Estão Brincando, Ilebam Ti Egbé Djêji Omadê Omixirê",FONSANPOTMA,Não,Não,Lomba do Pinheiro,Porto Alegre,Marmita,400,5,Sexta
Cozinha das Gurias da Barreto,Sem apadrinhamento,Não,Sim,Lomba do Pinheiro,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",280,2,Quinta
Yle Reino de Osum,FONSANPOTMA,Não,Não,Lomba do Pinheiro,Porto Alegre,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",300,5,Sexta
Associação dos Moradores do Serra Verde,Sem apadrinhamento,Sim,Não,Lomba do Pinheiro,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,700,3,Quinta
Retomada Guarani - Comunidade Ka'Aguy Marae'Y,A fome tem pressa,Não,Não,Lomba do Pinheiro,Porto Alegre,Refeições coletivas,700,7,Sexta
Ylê de Oxum Docô,FONSANPOTMA,Não,Não,Lomba do Pinheiro,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,400,2,Sexta
Acuri,FESANS,Sim,Sim,Lomba do Pinheiro,Porto Alegre,"Marmita,Refeições coletivas,Outro",450,3,Sexta
Quilombo Família Ouro,FONSANPOTMA,Sim,Não,Lomba do Pinheiro,Porto Alegre,Refeições coletivas,400,5,Sexta
Cozinha Solidária São Francisco,FESANS,Não,Não,Lomba do Pinheiro,Porto Alegre,"Marmita,Refeições coletivas",250,1,Quarta
Cozinha Solidária Santo Antônio,Multiplicidade,Não,Não,Lomba do Pinheiro,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",170,1,Quarta
Cozinha Solidária União do Vale,Multiplicidade,Não,Não,Lomba do Pinheiro,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas,Outro",175,2,Quinta
Cozinha do Povo - Maristas,MTD,Não,Sim,Loteamento Irmãos Maristas,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",600,6,Sexta
Quilombo dos Rosas,MTD,Não,Não,Marechal Rondon,Canoas,"Marmita,As pessoas levam seus potes/vasilhas/pratos",650,4,Segunda
Jason Barbosa,UAMPA,Sim,Não,Mário Quintana,Porto Alegre,Marmita,350,3,"Segunda, Terça, Quarta, Quinta, Sexta, Sábado"
Cozinha Ilê Afro Menina Encantto do Caçador,UAMPA,Não,Não,Mário Quintana,Porto Alegre,"Marmita,Refeições coletivas",400,4,Quinta
Cozinha Solidária Força e Coragem (Cozinha da Tua Lúcia),CUT Comunidades,Sim,Não,Mário Quintana,Porto Alegre,Marmita,2.000,4,Quinta
Cozinha Comunitário Brasileirinho,Multiplicidade,Não,Não,Mário Quintana,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,300,1,Terça
Centro Africano Santo Antônio e Cabocla Jurema,FONSANPOTMA,Sim,Sim,Medianeira,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",250,3,Sexta
Sociedade Espírita Paz e Luz,Fórum fome zero,Não,Não,Morada do Vale,Gravataí,Marmita,1.175,2,Quarta
Ilê Fe e Amor e Caridade,FONSANPOTMA,Não,Não,Navegantes,Porto Alegre,Marmita,200,1,"Quinta, Sexta"
Ylê de Iemanjá Boci e Oxalá Dacum,FONSANPOTMA,Não,Não,Navegantes,Porto Alegre,Marmita,100,1,Sexta
Associação Carmem Niterói Canoas,Fórum fome zero,Não,Não,Niterói,Canoas,Marmita,280,2,Quarta
Centro Cultural Raízes da África Mundi,UAMPA,Sim,Não,Nonoai,Porto Alegre,"Marmita,Outro",400,4,Quinta
Centro Espririta de Umbanda Cacique Tupinamba das Matas Virgens,FONSANPOTMA,Sim,Não,Nonoai,Porto Alegre,Marmita,300,5,Sexta
Ilê Africano Esu Tolabi Oxum Panda,FONSANPOTMA,Não,Não,Parque Indio Jari,Viamão,"Marmita,Refeições coletivas",1.100,6,"Segunda, Quarta, Quinta"
Ilê Bara Lodê,FONSANPOTMA,Não,Não,Parque Indio Jari,Viamão,"Marmita,Refeições coletivas",600,4,Terça
